ABSENCE [('Ost-Berlin', 0.24294942617416382), ('sowjetischen_Streitkraefte', 0.24120886623859406), ('Kriegszeiten', 0.23022602498531342), ('Otto_Grotewohl', 0.22882062196731567), ('DDR-', 0.2279011607170105), ('Frankfurter_Westend', 0.2263510525226593), ('DDR-Regimes', 0.22561179101467133), ('Rabat', 0.22538001835346222), ('DDR-Buerger', 0.224553644657135), ('DDR', 0.22431010007858276)] Abwesenheit 0
ABSENCE [('Ost-Berlin', 0.24294942617416382), ('sowjetischen_Streitkraefte', 0.24120886623859406), ('Kriegszeiten', 0.23022602498531342), ('Otto_Grotewohl', 0.22882062196731567), ('DDR-', 0.2279011607170105), ('Frankfurter_Westend', 0.2263510525226593), ('DDR-Regimes', 0.22561179101467133), ('Rabat', 0.22538001835346222), ('DDR-Buerger', 0.224553644657135), ('DDR', 0.22431010007858276)] Abwesenheit 0
ABSENCE [('Ost-Berlin', 0.24294942617416382), ('sowjetischen_Streitkraefte', 0.24120886623859406), ('Kriegszeiten', 0.23022602498531342), ('Otto_Grotewohl', 0.22882062196731567), ('DDR-', 0.2279011607170105), ('Frankfurter_Westend', 0.2263510525226593), ('DDR-Regimes', 0.22561179101467133), ('Rabat', 0.22538001835346222), ('DDR-Buerger', 0.224553644657135), ('DDR', 0.22431010007858276)] fehlen 0
ABSENCE [('Ost-Berlin', 0.24294942617416382), ('sowjetischen_Streitkraefte', 0.24120886623859406), ('Kriegszeiten', 0.23022602498531342), ('Otto_Grotewohl', 0.22882062196731567), ('DDR-', 0.2279011607170105), ('Frankfurter_Westend', 0.2263510525226593), ('DDR-Regimes', 0.22561179101467133), ('Rabat', 0.22538001835346222), ('DDR-Buerger', 0.224553644657135), ('DDR', 0.22431010007858276)] Abwesenheit 0
ABSENCE [('Ost-Berlin', 0.24294942617416382), ('sowjetischen_Streitkraefte', 0.24120886623859406), ('Kriegszeiten', 0.23022602498531342), ('Otto_Grotewohl', 0.22882062196731567), ('DDR-', 0.2279011607170105), ('Frankfurter_Westend', 0.2263510525226593), ('DDR-Regimes', 0.22561179101467133), ('Rabat', 0.22538001835346222), ('DDR-Buerger', 0.224553644657135), ('DDR', 0.22431010007858276)] Absenz 0
accretion [('Stadtautobahnen', 0.2757229804992676), ('Bahnlinien', 0.2649204134941101), ('Teilnetz', 0.257318377494812), ('Einwohner_Hauptwohnung', 0.2555141746997833), ('Strassenbahnlinien', 0.24828185141086578), ('Tiefbauamt', 0.23826654255390167), ('U-Bahnhoefe', 0.23516888916492462), ('Betriebsstellen', 0.23458944261074066), ('Ost-West-Richtung_verlaeuft', 0.23323789238929749), ('Central_Pacific', 0.23117376863956451)] Zunahme 0
ace [('feindliche_Auslaender', 0.23812192678451538), ('Zufluchtsort', 0.22426266968250275), ('10000_$', 0.2197052240371704), ('James_Ensor', 0.21754425764083862), ('Wehrmachtssoldaten', 0.21383069455623627), ('Chaim_Soutine', 0.21309351921081543), ('Afghani', 0.21250054240226746), ('adoptieren', 0.20994460582733154), ('deutschen_Kriegsgefangenen', 0.2095981389284134), ('internierte', 0.20952075719833374)] ASS 0
ace [('feindliche_Auslaender', 0.23812192678451538), ('Zufluchtsort', 0.22426266968250275), ('10000_$', 0.2197052240371704), ('James_Ensor', 0.21754425764083862), ('Wehrmachtssoldaten', 0.21383069455623627), ('Chaim_Soutine', 0.21309351921081543), ('Afghani', 0.21250054240226746), ('adoptieren', 0.20994460582733154), ('deutschen_Kriegsgefangenen', 0.2095981389284134), ('internierte', 0.20952075719833374)] ASS 0
ace [('feindliche_Auslaender', 0.23812192678451538), ('Zufluchtsort', 0.22426266968250275), ('10000_$', 0.2197052240371704), ('James_Ensor', 0.21754425764083862), ('Wehrmachtssoldaten', 0.21383069455623627), ('Chaim_Soutine', 0.21309351921081543), ('Afghani', 0.21250054240226746), ('adoptieren', 0.20994460582733154), ('deutschen_Kriegsgefangenen', 0.2095981389284134), ('internierte', 0.20952075719833374)] ASS 0
acre [('Nida-Ruemelin', 0.21989619731903076), ('DB_Regio', 0.2073565274477005), ('Gerd_Althoff', 0.20729641616344452), ('Modernere', 0.19375893473625183), ('Stilistische', 0.19121147692203522), ('Newtons', 0.1897311955690384), ('David_Ricardo', 0.18865931034088135), ('Technikgeschichte', 0.1866345852613449), ('Erfurter_Bahn', 0.1860419660806656), ('strange', 0.1854347586631775)] Morgen 0
acre [('Nida-Ruemelin', 0.21989619731903076), ('DB_Regio', 0.2073565274477005), ('Gerd_Althoff', 0.20729641616344452), ('Modernere', 0.19375893473625183), ('Stilistische', 0.19121147692203522), ('Newtons', 0.1897311955690384), ('David_Ricardo', 0.18865931034088135), ('Technikgeschichte', 0.1866345852613449), ('Erfurter_Bahn', 0.1860419660806656), ('strange', 0.1854347586631775)] Acker 0
