ace [('britisch-amerikanischen', 0.23717176914215088), ('Oland', 0.2329120934009552), ('fiktiven', 0.23180009424686432), ('Entstanden', 0.2246607393026352), ('Joerg_Mantzsch', 0.21548818051815033), ('Administrativ_gehoert', 0.21320520341396332), ('Comic-Reihe', 0.21080315113067627), ('Surreale', 0.210685133934021), ('of_Business', 0.20934410393238068), ('abgedruckte', 0.2089332640171051)] ASS 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] Ausgewogenheit 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] ausgleichen 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] Balance 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] balancieren 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] Bilanz 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] bilanzieren 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] Gleichgewicht 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] Guthaben 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] Saldo 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] Waage 0
balance [('1898', 0.2656274735927582), ('Jan_Wellem', 0.2516840994358063), ('Schleppen', 0.2451334148645401), ('Francisco_Franco', 0.24019917845726013), ('Isabel_Allende', 0.23965416848659515), ('Vicco_Buelow', 0.22987698018550873), ('internationale_Preise', 0.22905603051185608), ('Wilhelm_Oranien', 0.22716039419174194), ('Roberto_Benigni', 0.22536322474479675), ('Ludwig_XIV', 0.22444835305213928)] Wiegen 0
Base [('Trau', 0.2628014385700226), ('Ragusa', 0.2509636878967285), ('Dalibor', 0.2367054671049118), ('Fructus', 0.23067276179790497), ('Nevis', 0.2274027317762375), ('Sitt', 0.22698639333248138), ('Haubrichs', 0.22544901072978973), ('Rilling', 0.22482261061668396), ('Luethy', 0.22399038076400757), ('Manfredo', 0.22369618713855743)] BASE 0
Base [('Trau', 0.2628014385700226), ('Ragusa', 0.2509636878967285), ('Dalibor', 0.2367054671049118), ('Fructus', 0.23067276179790497), ('Nevis', 0.2274027317762375), ('Sitt', 0.22698639333248138), ('Haubrichs', 0.22544901072978973), ('Rilling', 0.22482261061668396), ('Luethy', 0.22399038076400757), ('Manfredo', 0.22369618713855743)] basieren 0
Base [('Trau', 0.2628014385700226), ('Ragusa', 0.2509636878967285), ('Dalibor', 0.2367054671049118), ('Fructus', 0.23067276179790497), ('Nevis', 0.2274027317762375), ('Sitt', 0.22698639333248138), ('Haubrichs', 0.22544901072978973), ('Rilling', 0.22482261061668396), ('Luethy', 0.22399038076400757), ('Manfredo', 0.22369618713855743)] Basis 0
Base [('Trau', 0.2628014385700226), ('Ragusa', 0.2509636878967285), ('Dalibor', 0.2367054671049118), ('Fructus', 0.23067276179790497), ('Nevis', 0.2274027317762375), ('Sitt', 0.22698639333248138), ('Haubrichs', 0.22544901072978973), ('Rilling', 0.22482261061668396), ('Luethy', 0.22399038076400757), ('Manfredo', 0.22369618713855743)] Grundlage 0
Base [('Trau', 0.2628014385700226), ('Ragusa', 0.2509636878967285), ('Dalibor', 0.2367054671049118), ('Fructus', 0.23067276179790497), ('Nevis', 0.2274027317762375), ('Sitt', 0.22698639333248138), ('Haubrichs', 0.22544901072978973), ('Rilling', 0.22482261061668396), ('Luethy', 0.22399038076400757), ('Manfredo', 0.22369618713855743)] Kaserne 0
BILLION [('Vitis', 0.23478110134601593), ('EE', 0.23410338163375854), ('Zeiss_Ikon', 0.2335747331380844), ('Unterart', 0.23177124559879303), ('ferruginea', 0.22604280710220337), ('Varta', 0.2237054705619812), ('Eismoewe', 0.2195131778717041), ('AL', 0.21647651493549347), ('Papilio', 0.2145436555147171), ('Zentral-_Osteuropa', 0.2142389416694641)] Billion 0
BILLION [('Vitis', 0.23478110134601593), ('EE', 0.23410338163375854), ('Zeiss_Ikon', 0.2335747331380844), ('Unterart', 0.23177124559879303), ('ferruginea', 0.22604280710220337), ('Varta', 0.2237054705619812), ('Eismoewe', 0.2195131778717041), ('AL', 0.21647651493549347), ('Papilio', 0.2145436555147171), ('Zentral-_Osteuropa', 0.2142389416694641)] Milliarde 0
BOGEY [('Etisalat', 0.25041937828063965), ('Telekommunikationsunternehmens', 0.24053779244422913), ('Fortis_Bank', 0.23744016885757446), ('Mutterunternehmens', 0.2344740927219391), ('SAS_Scandinavian', 0.2290450483560562), ('Kundenbereich', 0.2278595268726349), ('Orange', 0.2249625325202942), ('Pay-TV-Sender', 0.22486886382102966), ('Rail_Cargo', 0.22311648726463318), ('Mehrheitsbesitz', 0.2227955460548401)] Drehgestell 0
cardinal [('Psychische_Erkrankungen', 0.23309367895126343), ('pAVK', 0.21647128462791443), ('weibliche', 0.21248775720596313), ('Fledermaeuse', 0.20620760321617126), ('krankhaft', 0.20532308518886566), ('passive', 0.20519496500492096), ('psychischen', 0.20466916263103485), ('Durchschnittsbevoelkerung', 0.2031649947166443), ('psychische_Belastungen', 0.20181229710578918), ('maennliche', 0.20079125463962555)] Grundzahl 0
cardinal [('Psychische_Erkrankungen', 0.23309367895126343), ('pAVK', 0.21647128462791443), ('weibliche', 0.21248775720596313), ('Fledermaeuse', 0.20620760321617126), ('krankhaft', 0.20532308518886566), ('passive', 0.20519496500492096), ('psychischen', 0.20466916263103485), ('Durchschnittsbevoelkerung', 0.2031649947166443), ('psychische_Belastungen', 0.20181229710578918), ('maennliche', 0.20079125463962555)] Kardinal 0
cardinal [('Psychische_Erkrankungen', 0.23309367895126343), ('pAVK', 0.21647128462791443), ('weibliche', 0.21248775720596313), ('Fledermaeuse', 0.20620760321617126), ('krankhaft', 0.20532308518886566), ('passive', 0.20519496500492096), ('psychischen', 0.20466916263103485), ('Durchschnittsbevoelkerung', 0.2031649947166443), ('psychische_Belastungen', 0.20181229710578918), ('maennliche', 0.20079125463962555)] Kardinalzahl 0
CENTURY [('verschont_blieb', 0.17626242339611053), ('grosse_Teile', 0.17523038387298584), ('ueberschatteten', 0.17069467902183533), ('jahrzehntelangem', 0.16646736860275269), ('reichenden', 0.16346228122711182), ('hinweggefegt', 0.16136255860328674), ('Kirchen_Kloester', 0.16090402007102966), ('abgeschlagene', 0.16036581993103027), ('dramatischen_Ereignisse', 0.15978196263313293), ('1742_fiel', 0.1596365123987198)] Jahrhundert 0
characteristic [('Ostpr', 0.20973114669322968), ('Wulffen', 0.20500841736793518), ('Sachsen-Coburg_Gotha', 0.20358604192733765), ('franzoesischer_Staatsbuerger', 0.20329132676124573), ('Schulzenhof', 0.202793687582016), ('Polignac', 0.20223991572856903), ('Grundrenten_Einnahmen', 0.19135117530822754), ('Gneisenau', 0.18679594993591309), ('Nebenlinie_Hauses', 0.18614648282527924), ('Landkreis_Bartenstein', 0.18556590378284454)] bezeichnend 0
characteristic [('Ostpr', 0.20973114669322968), ('Wulffen', 0.20500841736793518), ('Sachsen-Coburg_Gotha', 0.20358604192733765), ('franzoesischer_Staatsbuerger', 0.20329132676124573), ('Schulzenhof', 0.202793687582016), ('Polignac', 0.20223991572856903), ('Grundrenten_Einnahmen', 0.19135117530822754), ('Gneisenau', 0.18679594993591309), ('Nebenlinie_Hauses', 0.18614648282527924), ('Landkreis_Bartenstein', 0.18556590378284454)] Charakteristik 0
