ABSENCE [('unnuetzer', 0.32383665442466736), ('lasterhaften', 0.31562933325767517), ('Schreder', 0.3116143047809601), ('Saegewerksbesitzer', 0.3084868788719177), ('unordentlichen', 0.30630046129226685), ('Stappert', 0.3059637248516083), ('Krammel', 0.30497029423713684), ('Thiels', 0.2968589663505554), ('Stanke', 0.2965641915798187), ('Beachtung_schenken', 0.2946451008319855)] Abwesenheit 0
ABSENCE [('unnuetzer', 0.32383665442466736), ('lasterhaften', 0.31562933325767517), ('Schreder', 0.3116143047809601), ('Saegewerksbesitzer', 0.3084868788719177), ('unordentlichen', 0.30630046129226685), ('Stappert', 0.3059637248516083), ('Krammel', 0.30497029423713684), ('Thiels', 0.2968589663505554), ('Stanke', 0.2965641915798187), ('Beachtung_schenken', 0.2946451008319855)] Abwesenheit 0
ABSENCE [('unnuetzer', 0.32383665442466736), ('lasterhaften', 0.31562933325767517), ('Schreder', 0.3116143047809601), ('Saegewerksbesitzer', 0.3084868788719177), ('unordentlichen', 0.30630046129226685), ('Stappert', 0.3059637248516083), ('Krammel', 0.30497029423713684), ('Thiels', 0.2968589663505554), ('Stanke', 0.2965641915798187), ('Beachtung_schenken', 0.2946451008319855)] fehlen 0
ABSENCE [('unnuetzer', 0.32383665442466736), ('lasterhaften', 0.31562933325767517), ('Schreder', 0.3116143047809601), ('Saegewerksbesitzer', 0.3084868788719177), ('unordentlichen', 0.30630046129226685), ('Stappert', 0.3059637248516083), ('Krammel', 0.30497029423713684), ('Thiels', 0.2968589663505554), ('Stanke', 0.2965641915798187), ('Beachtung_schenken', 0.2946451008319855)] Abwesenheit 0
ABSENCE [('unnuetzer', 0.32383665442466736), ('lasterhaften', 0.31562933325767517), ('Schreder', 0.3116143047809601), ('Saegewerksbesitzer', 0.3084868788719177), ('unordentlichen', 0.30630046129226685), ('Stappert', 0.3059637248516083), ('Krammel', 0.30497029423713684), ('Thiels', 0.2968589663505554), ('Stanke', 0.2965641915798187), ('Beachtung_schenken', 0.2946451008319855)] Absenz 0
accretion [('Kuerbisfest', 0.21403871476650238), ('Wohnstube', 0.21203336119651794), ('Theaterfestival', 0.2100328952074051), ('Lufft', 0.20656423270702362), ('fuerstlich', 0.2024707794189453), ('Ausrufer', 0.2021985799074173), ('Kulturabteilung', 0.20175017416477203), ('Festessen', 0.19979353249073029), ('Kunsthauses', 0.19948036968708038), ('Arthur_Schnitzlers', 0.19944119453430176)] Zunahme 0
ace [('Freundinnen', 0.2995467483997345), ('Nachbarskind', 0.2915438413619995), ('verkuppelt', 0.28642258048057556), ('ueberredet', 0.28575706481933594), ('Freunde', 0.27999964356422424), ('masturbieren', 0.27986717224121094), ('Tante', 0.27888163924217224), ('eineiigen', 0.27865827083587646), ('Frauenwelt', 0.27603599429130554), ('fremde_Welten', 0.2750566601753235)] ASS 0
ace [('Freundinnen', 0.2995467483997345), ('Nachbarskind', 0.2915438413619995), ('verkuppelt', 0.28642258048057556), ('ueberredet', 0.28575706481933594), ('Freunde', 0.27999964356422424), ('masturbieren', 0.27986717224121094), ('Tante', 0.27888163924217224), ('eineiigen', 0.27865827083587646), ('Frauenwelt', 0.27603599429130554), ('fremde_Welten', 0.2750566601753235)] ASS 0
ace [('Freundinnen', 0.2995467483997345), ('Nachbarskind', 0.2915438413619995), ('verkuppelt', 0.28642258048057556), ('ueberredet', 0.28575706481933594), ('Freunde', 0.27999964356422424), ('masturbieren', 0.27986717224121094), ('Tante', 0.27888163924217224), ('eineiigen', 0.27865827083587646), ('Frauenwelt', 0.27603599429130554), ('fremde_Welten', 0.2750566601753235)] ASS 0
acre [('Stift_Sankt', 0.21178734302520752), ('Maria_Laach', 0.21113605797290802), ('Papst_Leo', 0.20764656364917755), ('Schneide-', 0.20615196228027344), ('Erscheinungsbild_Laubblatt', 0.20445673167705536), ('Kreuzbein', 0.2035302370786667), ('Placidus', 0.19881010055541992), ('I_Barbarossa', 0.1953965574502945), ('Kreuzgangs', 0.19349825382232666), ('Papst_Gregor', 0.1919170320034027)] Morgen 0
acre [('Stift_Sankt', 0.21178734302520752), ('Maria_Laach', 0.21113605797290802), ('Papst_Leo', 0.20764656364917755), ('Schneide-', 0.20615196228027344), ('Erscheinungsbild_Laubblatt', 0.20445673167705536), ('Kreuzbein', 0.2035302370786667), ('Placidus', 0.19881010055541992), ('I_Barbarossa', 0.1953965574502945), ('Kreuzgangs', 0.19349825382232666), ('Papst_Gregor', 0.1919170320034027)] Acker 0
